질병코드,버전,영문명,한글명
X10,7,"Contact with hot drinks, food, fats and cooking oils","뜨거운 음료 식품, 지방 및 조리용 기름과 접촉"
X10.0,7,"Contact with hot drinks, food, fats and cooking oils, home","뜨거운 음료 식품, 지방 및 조리용 기름과 접촉, 주택"
X10.1,7,"Contact with hot drinks, food, fats and cooking oils, residential institution","뜨거운 음료 식품, 지방 및 조리용 기름과 접촉, 집단거주시설"
X10.2,7,"Contact with hot drinks, food, fats and cooking oils, school, other institution and public administrative area","뜨거운 음료 식품, 지방 및 조리용 기름과 접촉, 학교, 기타 시설 및 공공행정 구역"
X10.3,7,"Contact with hot drinks, food, fats and cooking oils, sports and athletics area","뜨거운 음료 식품, 지방 및 조리용 기름과 접촉, 운동 및 경기장"
X10.4,7,"Contact with hot drinks, food, fats and cooking oils, street and highway","뜨거운 음료 식품, 지방 및 조리용 기름과 접촉, 도로 및 고속도로"
X10.5,7,"Contact with hot drinks, food, fats and cooking oils, trade and service area","뜨거운 음료 식품, 지방 및 조리용 기름과 접촉, 상업 및 서비스 구역"
X10.6,7,"Contact with hot drinks, food, fats and cooking oils, industrial and construction area","뜨거운 음료 식품, 지방 및 조리용 기름과 접촉, 산업 및 건설지역"
X10.7,7,"Contact with hot drinks, food, fats and cooking oils, farm","뜨거운 음료 식품, 지방 및 조리용 기름과 접촉, 농장"
X10.8,7,"Contact with hot drinks, food, fats and cooking oils, other specified places","뜨거운 음료 식품, 지방 및 조리용 기름과 접촉, 기타 명시된 장소"
X10.9,7,"Contact with hot drinks, food, fats and cooking oils, unspecified place","뜨거운 음료 식품, 지방 및 조리용 기름과 접촉, 상세불명 장소"
X11,7,Contact with hot tap-water,뜨거운 수돗물과 접촉
X11.0,7,"Contact with hot tap-water, home","뜨거운 수돗물과 접촉, 주택"
X11.1,7,"Contact with hot tap-water, residential institution","뜨거운 수돗물과 접촉, 집단거주시설"
X11.2,7,"Contact with hot tap-water, school, other institution and public administrative area","뜨거운 수돗물과 접촉, 학교, 기타 시설 및 공공행정 구역"
X11.3,7,"Contact with hot tap-water, sports and athletics area","뜨거운 수돗물과 접촉, 운동 및 경기장"
X11.4,7,"Contact with hot tap-water, street and highway","뜨거운 수돗물과 접촉, 도로 및 고속도로"
X11.5,7,"Contact with hot tap-water, trade and service area","뜨거운 수돗물과 접촉, 상업 및 서비스 구역"
X11.6,7,"Contact with hot tap-water, industrial and construction area","뜨거운 수돗물과 접촉, 산업 및 건설지역"
X11.7,7,"Contact with hot tap-water, farm","뜨거운 수돗물과 접촉, 농장"
X11.8,7,"Contact with hot tap-water, other specified places","뜨거운 수돗물과 접촉, 기타 명시된 장소"
X11.9,7,"Contact with hot tap-water, unspecified place","뜨거운 수돗물과 접촉, 상세불명 장소"
X12,7,Contact with other hot fluids,기타 뜨거운 용액과 접촉
X12.0,7,"Contact with other hot fluids, home","기타 뜨거운 용액과 접촉, 주택"
X12.1,7,"Contact with other hot fluids, residential institution","기타 뜨거운 용액과 접촉, 집단거주시설"
X12.2,7,"Contact with other hot fluids, school, other institution and public administrative area","기타 뜨거운 용액과 접촉, 학교, 기타 시설 및 공공행정 구역"
X12.3,7,"Contact with other hot fluids, sports and athletics area","기타 뜨거운 용액과 접촉, 운동 및 경기장"
X12.4,7,"Contact with other hot fluids, street and highway","기타 뜨거운 용액과 접촉, 도로 및 고속도로"
X12.5,7,"Contact with other hot fluids, trade and service area","기타 뜨거운 용액과 접촉, 상업 및 서비스 구역"
X12.6,7,"Contact with other hot fluids, industrial and construction area","기타 뜨거운 용액과 접촉, 산업 및 건설지역"
X12.7,7,"Contact with other hot fluids, farm","기타 뜨거운 용액과 접촉, 농장"
X12.8,7,"Contact with other hot fluids, other specified places","기타 뜨거운 용액과 접촉, 기타 명시된 장소"
X12.9,7,"Contact with other hot fluids, unspecified place","기타 뜨거운 용액과 접촉, 상세불명 장소"
X13,7,Contact with steam and hot vapours,증기 및 뜨거운 김과 접촉
X13.0,7,"Contact with steam and hot vapours, home","증기 및 뜨거운 김과 접촉, 주택"
X13.1,7,"Contact with steam and hot vapours, residential institution","증기 및 뜨거운 김과 접촉, 집단거주시설"
X13.2,7,"Contact with steam and hot vapours, school, other institution and public administrative area","증기 및 뜨거운 김과 접촉, 학교, 기타 시설 및 공공행정 구역"
X13.3,7,"Contact with steam and hot vapours, sports and athletics area","증기 및 뜨거운 김과 접촉, 운동 및 경기장"
X13.4,7,"Contact with steam and hot vapours, street and highway","증기 및 뜨거운 김과 접촉, 도로 및 고속도로"
X13.5,7,"Contact with steam and hot vapours, trade and service area","증기 및 뜨거운 김과 접촉, 상업 및 서비스 구역"
X13.6,7,"Contact with steam and hot vapours, industrial and construction area","증기 및 뜨거운 김과 접촉, 산업 및 건설지역"
X13.7,7,"Contact with steam and hot vapours, farm","증기 및 뜨거운 김과 접촉, 농장"
X13.8,7,"Contact with steam and hot vapours, other specified places","증기 및 뜨거운 김과 접촉, 기타 명시된 장소"
X13.9,7,"Contact with steam and hot vapours, unspecified place","증기 및 뜨거운 김과 접촉, 상세불명 장소"
X14,7,Contact with hot air and gases,뜨거운 공기 및 가스와 접촉
X14.0,7,"Contact with hot air and gases, home","뜨거운 공기 및 가스와 접촉, 주택"
X14.1,7,"Contact with hot air and gases, residential institution","뜨거운 공기 및 가스와 접촉, 집단거주시설"
X14.2,7,"Contact with hot air and gases, school, other institution and public administrative area","뜨거운 공기 및 가스와 접촉, 학교, 기타 시설 및 공공행정 구역"
X14.3,7,"Contact with hot air and gases, sports and athletics area","뜨거운 공기 및 가스와 접촉, 운동 및 경기장"
X14.4,7,"Contact with hot air and gases, street and highway","뜨거운 공기 및 가스와 접촉, 도로 및 고속도로"
X14.5,7,"Contact with hot air and gases, trade and service area","뜨거운 공기 및 가스와 접촉, 상업 및 서비스 구역"
X14.6,7,"Contact with hot air and gases, industrial and construction area","뜨거운 공기 및 가스와 접촉, 산업 및 건설지역"
X14.7,7,"Contact with hot air and gases, farm","뜨거운 공기 및 가스와 접촉, 농장"
X14.8,7,"Contact with hot air and gases, other specified places","뜨거운 공기 및 가스와 접촉, 기타 명시된 장소"
X14.9,7,"Contact with hot air and gases, unspecified place","뜨거운 공기 및 가스와 접촉, 상세불명 장소"
X15,7,Contact with hot household appliances,뜨거운 가정기기와 접촉
X15.0,7,"Contact with hot household appliances, home","뜨거운 가정기기와 접촉, 주택"
X15.1,7,"Contact with hot household appliances, residential institution","뜨거운 가정기기와 접촉, 집단거주시설"
X15.2,7,"Contact with hot household appliances, school, other institution and public administrative area","뜨거운 가정기기와 접촉, 학교, 기타 시설 및 공공행정 구역"
X15.3,7,"Contact with hot household appliances, sports and athletics area","뜨거운 가정기기와 접촉, 운동 및 경기장"
X15.4,7,"Contact with hot household appliances, street and highway","뜨거운 가정기기와 접촉, 도로 및 고속도로"
X15.5,7,"Contact with hot household appliances, trade and service area","뜨거운 가정기기와 접촉, 상업 및 서비스 구역"
X15.6,7,"Contact with hot household appliances, industrial and construction area","뜨거운 가정기기와 접촉, 산업 및 건설지역"
X15.7,7,"Contact with hot household appliances, farm","뜨거운 가정기기와 접촉, 농장"
X15.8,7,"Contact with hot household appliances, other specified places","뜨거운 가정기기와 접촉, 기타 명시된 장소"
X15.9,7,"Contact with hot household appliances, unspecified place","뜨거운 가정기기와 접촉, 상세불명 장소"
X16,7,"Contact with hot heating appliances, radiators and pipe","뜨거운 난방장치, 방열기 및 파이프와 접촉"
X16.0,7,"Contact with hot heating appliances, radiators and pipes, home","뜨거운 난방장치, 방열기 및 파이프와 접촉, 주택"
X16.1,7,"Contact with hot heating appliances, radiators and pipes, residential institution","뜨거운 난방장치, 방열기 및 파이프와 접촉, 집단거주시설"
X16.2,7,"Contact with hot heating appliances, radiators and pipes, school, other institution and public administrative area","뜨거운 난방장치, 방열기 및 파이프와 접촉, 학교, 기타 시설 및 공공행정 구역"
X16.3,7,"Contact with hot heating appliances, radiators and pipes, sports and athletics area","뜨거운 난방장치, 방열기 및 파이프와 접촉, 운동 및 경기장"
X16.4,7,"Contact with hot heating appliances, radiators and pipes, street and highway","뜨거운 난방장치, 방열기 및 파이프와 접촉, 도로 및 고속도로"
X16.5,7,"Contact with hot heating appliances, radiators and pipes, trade and service area","뜨거운 난방장치, 방열기 및 파이프와 접촉, 상업 및 서비스 구역"
X16.6,7,"Contact with hot heating appliances, radiators and pipes, industrial and construction area","뜨거운 난방장치, 방열기 및 파이프와 접촉, 산업 및 건설지역"
X16.7,7,"Contact with hot heating appliances, radiators and pipes, farm","뜨거운 난방장치, 방열기 및 파이프와 접촉, 농장"
X16.8,7,"Contact with hot heating appliances, radiators and pipes, other specified places","뜨거운 난방장치, 방열기 및 파이프와 접촉, 기타 명시된 장소"
X16.9,7,"Contact with hot heating appliances, radiators and pipes, unspecified place","뜨거운 난방장치, 방열기 및 파이프와 접촉, 상세불명 장소"
X17,7,"Contact with hot engines, machinery and tools","뜨거운 엔진, 기계 및 공구와 접촉"
X17.0,7,"Contact with hot engines, machinery and tools, home","뜨거운 엔진, 기계 및 공구와 접촉, 주택"
X17.1,7,"Contact with hot engines, machinery and tools, residential institution","뜨거운 엔진, 기계 및 공구와 접촉, 집단거주시설"
X17.2,7,"Contact with hot engines, machinery and tools, school, other institution and public administrative area","뜨거운 엔진, 기계 및 공구와 접촉, 학교, 기타 시설 및 공공행정 구역"
X17.3,7,"Contact with hot engines, machinery and tools, sports and athletics area","뜨거운 엔진, 기계 및 공구와 접촉, 운동 및 경기장"
X17.4,7,"Contact with hot engines, machinery and tools, street and highway","뜨거운 엔진, 기계 및 공구와 접촉, 도로 및 고속도로"
X17.5,7,"Contact with hot engines, machinery and tools, trade and service area","뜨거운 엔진, 기계 및 공구와 접촉, 상업 및 서비스 구역"
X17.6,7,"Contact with hot engines, machinery and tools, industrial and construction area","뜨거운 엔진, 기계 및 공구와 접촉, 산업 및 건설지역"
X17.7,7,"Contact with hot engines, machinery and tools, farm","뜨거운 엔진, 기계 및 공구와 접촉, 농장"
X17.8,7,"Contact with hot engines, machinery and tools, other specified places","뜨거운 엔진, 기계 및 공구와 접촉, 기타 명시된 장소"
X17.9,7,"Contact with hot engines, machinery and tools, unspecified place","뜨거운 엔진, 기계 및 공구와 접촉, 상세불명 장소"
X18,7,Contact with other hot metals,기타 뜨거운 금속과 접촉
X18.0,7,"Contact with other hot metals, home","기타 뜨거운 금속과 접촉, 주택"
X18.1,7,"Contact with other hot metals, residential institution","기타 뜨거운 금속과 접촉, 집단거주시설"
X18.2,7,"Contact with other hot metals, school, other institution and public administrative area","기타 뜨거운 금속과 접촉, 학교, 기타 시설 및 공공행정 구역"
X18.3,7,"Contact with other hot metals, sports and athletics area","기타 뜨거운 금속과 접촉, 운동 및 경기장"
X18.4,7,"Contact with other hot metals, street and highway","기타 뜨거운 금속과 접촉, 도로 및 고속도로"
X18.5,7,"Contact with other hot metals, trade and service area","기타 뜨거운 금속과 접촉, 상업 및 서비스 구역"
X18.6,7,"Contact with other hot metals, industrial and construction area","기타 뜨거운 금속과 접촉, 산업 및 건설지역"
X18.7,7,"Contact with other hot metals, farm","기타 뜨거운 금속과 접촉, 농장"
X18.8,7,"Contact with other hot metals, other specified places","기타 뜨거운 금속과 접촉, 기타 명시된 장소"
X18.9,7,"Contact with other hot metals, unspecified place","기타 뜨거운 금속과 접촉, 상세불명 장소"
X19,7,Contact with other and unspecified heat and hot substances,기타 및 상세불명의 열 및 뜨거운 물질과 접촉
X19.0,7,"Contact with other and unspecified heat and hot substances, home","기타 및 상세불명의 열 및 뜨거운 물질과 접촉, 주택"
X19.1,7,"Contact with other and unspecified heat and hot substances, residential institution","기타 및 상세불명의 열 및 뜨거운 물질과 접촉, 집단거주시설"
X19.2,7,"Contact with other and unspecified heat and hot substances, school, other institution and public administrative area","기타 및 상세불명의 열 및 뜨거운 물질과 접촉, 학교, 기타 시설 및 공공행정 구역"
X19.3,7,"Contact with other and unspecified heat and hot substances, sports and athletics area","기타 및 상세불명의 열 및 뜨거운 물질과 접촉, 운동 및 경기장"
X19.4,7,"Contact with other and unspecified heat and hot substances, street and highway","기타 및 상세불명의 열 및 뜨거운 물질과 접촉, 도로 및 고속도로"
X19.5,7,"Contact with other and unspecified heat and hot substances, trade and service area","기타 및 상세불명의 열 및 뜨거운 물질과 접촉, 상업 및 서비스 구역"
X19.6,7,"Contact with other and unspecified heat and hot substances, industrial and construction area","기타 및 상세불명의 열 및 뜨거운 물질과 접촉, 산업 및 건설지역"
X19.7,7,"Contact with other and unspecified heat and hot substances, farm","기타 및 상세불명의 열 및 뜨거운 물질과 접촉, 농장"
X19.8,7,"Contact with other and unspecified heat and hot substances, other specified places","기타 및 상세불명의 열 및 뜨거운 물질과 접촉, 기타 명시된 장소"
X19.9,7,"Contact with other and unspecified heat and hot substances, unspecified place","기타 및 상세불명의 열 및 뜨거운 물질과 접촉, 상세불명 장소"
X20,7,Contact with venomous snakes and lizards,독액성 뱀 및 도마뱀과 접촉
X20.0,7,"Contact with venomous snakes and lizards, home","독액성 뱀 및 도마뱀과 접촉, 주택"
X20.1,7,"Contact with venomous snakes and lizards, residential institution","독액성 뱀 및 도마뱀과 접촉, 집단거주시설"
X20.2,7,"Contact with venomous snakes and lizards, school, other institution and public administrative area","독액성 뱀 및 도마뱀과 접촉, 학교, 기타 시설 및 공공행정 구역"
X20.3,7,"Contact with venomous snakes and lizards, sports and athletics area","독액성 뱀 및 도마뱀과 접촉, 운동 및 경기장"
X20.4,7,"Contact with venomous snakes and lizards, street and highway","독액성 뱀 및 도마뱀과 접촉, 도로 및 고속도로"
X20.5,7,"Contact with venomous snakes and lizards, trade and service area","독액성 뱀 및 도마뱀과 접촉, 상업 및 서비스 구역"
X20.6,7,"Contact with venomous snakes and lizards, industrial and construction area","독액성 뱀 및 도마뱀과 접촉, 산업 및 건설지역"
X20.7,7,"Contact with venomous snakes and lizards, farm","독액성 뱀 및 도마뱀과 접촉, 농장"
X20.8,7,"Contact with venomous snakes and lizards, other specified places","독액성 뱀 및 도마뱀과 접촉, 기타 명시된 장소"
X20.9,7,"Contact with venomous snakes and lizards, unspecified place","독액성 뱀 및 도마뱀과 접촉, 상세불명 장소"
X21,7,Contact with venomous spiders,독거미와 접촉
X21.0,7,"Contact with venomous spiders, home","독거미와 접촉, 주택"
X21.1,7,"Contact with venomous spiders, residential institution","독거미와 접촉, 집단거주시설"
X21.2,7,"Contact with venomous spiders, school, other institution and public administrative area","독거미와 접촉, 학교, 기타 시설 및 공공행정 구역"
X21.3,7,"Contact with venomous spiders, sports and athletics area","독거미와 접촉, 운동 및 경기장"
X21.4,7,"Contact with venomous spiders, street and highway","독거미와 접촉, 도로 및 고속도로"
X21.5,7,"Contact with venomous spiders, trade and service area","독거미와 접촉, 상업 및 서비스 구역"
X21.6,7,"Contact with venomous spiders, industrial and construction area","독거미와 접촉, 산업 및 건설지역"
X21.7,7,"Contact with venomous spiders, farm","독거미와 접촉, 농장"
X21.8,7,"Contact with venomous spiders, other specified places","독거미와 접촉, 기타 명시된 장소"
X21.9,7,"Contact with venomous spiders, unspecified place","독거미와 접촉, 상세불명 장소"
X22,7,Contact with scorpions,전갈과 접촉
X22.0,7,"Contact with scorpions, home","전갈과 접촉, 주택"
X22.1,7,"Contact with scorpions, residential institution","전갈과 접촉, 집단거주시설"
X22.2,7,"Contact with scorpions, school, other institution and public administrative area","전갈과 접촉, 학교, 기타 시설 및 공공행정 구역"
X22.3,7,"Contact with scorpions, sports and athletics area","전갈과 접촉, 운동 및 경기장"
X22.4,7,"Contact with scorpions, street and highway","전갈과 접촉, 도로 및 고속도로"
X22.5,7,"Contact with scorpions, trade and service area","전갈과 접촉, 상업 및 서비스 구역"
X22.6,7,"Contact with scorpions, industrial and construction area","전갈과 접촉, 산업 및 건설지역"
X22.7,7,"Contact with scorpions, farm","전갈과 접촉, 농장"
X22.8,7,"Contact with scorpions, other specified places","전갈과 접촉, 기타 명시된 장소"
X22.9,7,"Contact with scorpions, unspecified place","전갈과 접촉, 상세불명 장소"
X23,7,"Contact with hornets, wasps and bees","장수말벌, 말벌 및 꿀벌과 접촉"
X23.0,7,"Contact with hornets, wasps and bees, home","장수말벌, 말벌 및 꿀벌과 접촉, 주택"
X23.1,7,"Contact with hornets, wasps and bees, residential institution","장수말벌, 말벌 및 꿀벌과 접촉, 집단거주시설"
X23.2,7,"Contact with hornets, wasps and bees, school, other institution and public administrative area","장수말벌, 말벌 및 꿀벌과 접촉, 학교, 기타 시설 및 공공행정 구역"
X23.3,7,"Contact with hornets, wasps and bees, sports and athletics area","장수말벌, 말벌 및 꿀벌과 접촉, 운동 및 경기장"
X23.4,7,"Contact with hornets, wasps and bees, street and highway","장수말벌, 말벌 및 꿀벌과 접촉, 도로 및 고속도로"
X23.5,7,"Contact with hornets, wasps and bees, trade and service area","장수말벌, 말벌 및 꿀벌과 접촉, 상업 및 서비스 구역"
X23.6,7,"Contact with hornets, wasps and bees, industrial and construction area","장수말벌, 말벌 및 꿀벌과 접촉, 산업 및 건설지역"
X23.7,7,"Contact with hornets, wasps and bees, farm","장수말벌, 말벌 및 꿀벌과 접촉, 농장"
X23.8,7,"Contact with hornets, wasps and bees, other specified places","장수말벌, 말벌 및 꿀벌과 접촉, 기타 명시된 장소"
X23.9,7,"Contact with hornets, wasps and bees, unspecified place","장수말벌, 말벌 및 꿀벌과 접촉, 상세불명 장소"
X24,7,Contact with centipedes and venomous millipedes (tropical),지네 및 독액성 노래기(열대성)와 접촉
X24.0,7,"Contact with centipedes and venomous millipedes (tropical), home","지네 및 독액성 노래기(열대성)와 접촉, 주택"
X24.1,7,"Contact with centipedes and venomous millipedes (tropical), residential institution","지네 및 독액성 노래기(열대성)와 접촉, 집단거주시설"
X24.2,7,"Contact with centipedes and venomous millipedes (tropical), school, other institution and public administrative area","지네 및 독액성 노래기(열대성)와 접촉, 학교, 기타 시설 및 공공행정 구역"
X24.3,7,"Contact with centipedes and venomous millipedes (tropical), sports and athletics area","지네 및 독액성 노래기(열대성)와 접촉, 운동 및 경기장"
X24.4,7,"Contact with centipedes and venomous millipedes (tropical), street and highway","지네 및 독액성 노래기(열대성)와 접촉, 도로 및 고속도로"
X24.5,7,"Contact with centipedes and venomous millipedes (tropical), trade and service area","지네 및 독액성 노래기(열대성)와 접촉, 상업 및 서비스 구역"
X24.6,7,"Contact with centipedes and venomous millipedes (tropical), industrial and construction area","지네 및 독액성 노래기(열대성)와 접촉, 산업 및 건설지역"
X24.7,7,"Contact with centipedes and venomous millipedes (tropical), farm","지네 및 독액성 노래기(열대성)와 접촉, 농장"
X24.8,7,"Contact with centipedes and venomous millipedes (tropical), other specified places","지네 및 독액성 노래기(열대성)와 접촉, 기타 명시된 장소"
X24.9,7,"Contact with centipedes and venomous millipedes (tropical), unspecified place","지네 및 독액성 노래기(열대성)와 접촉, 상세불명 장소"
X25,7,Contact with other venomous arthropods,기타 독액성 절지동물과 접촉
X25.0,7,"Contact with other venomous arthropods, home","기타 독액성 절지동물과 접촉, 주택"
X25.1,7,"Contact with other  venomous arthropods, residential institution","기타 독액성 절지동물과 접촉, 집단거주시설"
X25.2,7,"Contact with other  venomous arthropods, school, other institution and public administrative area","기타 독액성 절지동물과 접촉, 학교, 기타 시설 및 공공행정 구역"
X25.3,7,"Contact with other  venomous arthropods, sports and athletics area","기타 독액성 절지동물과 접촉, 운동 및 경기장"
X25.4,7,"Contact with other venomous arthropods, street and highway","기타 독액성 절지동물과 접촉, 도로 및 고속도로"
X25.5,7,"Contact with other  venomous arthropods, trade and service area","기타 독액성 절지동물과 접촉, 상업 및 서비스 구역"
X25.6,7,"Contact with other  venomous arthropods, industrial and construction area","기타 독액성 절지동물과 접촉, 산업 및 건설지역"
X25.7,7,"Contact with other  venomous arthropods, farm","기타 독액성 절지동물과 접촉, 농장"
X25.8,7,"Contact with other  venomous arthropods, other specified places","기타 독액성 절지동물과 접촉, 기타 명시된 장소"
X25.9,7,"Contact with other venomous arthropods, unspecified place","기타 독액성 절지동물과 접촉, 상세불명 장소"
X26,7,Contact with venomous marine animals and plants,독액성 해양동물 및 식물과 접촉
X26.0,7,"Contact with venomous marine animals and plants, home","독액성 해양동물 및 식물과 접촉, 주택"
X26.1,7,"Contact with venomous marine animals and plants, residential institution","독액성 해양동물 및 식물과 접촉, 집단거주시설"
X26.2,7,"Contact with venomous marine animals and plants, school, other institution and public administrative area","독액성 해양동물 및 식물과 접촉, 학교, 기타 시설 및 공공행정 구역"
X26.3,7,"Contact with venomous marine animals and plants, sports and athletics area","독액성 해양동물 및 식물과 접촉, 운동 및 경기장"
X26.4,7,"Contact with venomous marine animals and plants, street and highway","독액성 해양동물 및 식물과 접촉, 도로 및 고속도로"
X26.5,7,"Contact with venomous marine animals and plants, trade and service area","독액성 해양동물 및 식물과 접촉, 상업 및 서비스 구역"
X26.6,7,"Contact with venomous marine animals and plants, industrial and construction area","독액성 해양동물 및 식물과 접촉, 산업 및 건설지역"
X26.7,7,"Contact with venomous marine animals and plants, farm","독액성 해양동물 및 식물과 접촉, 농장"
X26.8,7,"Contact with venomous marine animals and plants, other specified places","독액성 해양동물 및 식물과 접촉, 기타 명시된 장소"
X26.9,7,"Contact with venomous marine animals and plants, unspecified place","독액성 해양동물 및 식물과 접촉, 상세불명 장소"
X27,7,Contact with other specified venomous animals,기타 명시된 독액성 동물과 접촉
X27.0,7,"Contact with other specified venomous animals, home","기타 명시된 독액성 동물과 접촉, 주택"
X27.1,7,"Contact with other specified venomous animals, residential institution","기타 명시된 독액성 동물과 접촉, 집단거주시설"
X27.2,7,"Contact with other specified venomous animals, school, other institution and public administrative area","기타 명시된 독액성 동물과 접촉, 학교, 기타 시설 및 공공행정 구역"
X27.3,7,"Contact with other specified venomous animals, sports and athletics area","기타 명시된 독액성 동물과 접촉, 운동 및 경기장"
X27.4,7,"Contact with other specified venomous animals, street and highway","기타 명시된 독액성 동물과 접촉, 도로 및 고속도로"
X27.5,7,"Contact with other specified venomous animals, trade and service area","기타 명시된 독액성 동물과 접촉, 상업 및 서비스 구역"
X27.6,7,"Contact with other specified venomous animals, industrial and construction area","기타 명시된 독액성 동물과 접촉, 산업 및 건설지역"
X27.7,7,"Contact with other specified venomous animals, farm","기타 명시된 독액성 동물과 접촉, 농장"
X27.8,7,"Contact with other specified venomous animals, other specified places","기타 명시된 독액성 동물과 접촉, 기타 명시된 장소"
X27.9,7,"Contact with other specified venomous animals, unspecified place","기타 명시된 독액성 동물과 접촉, 상세불명 장소"
X28,7,Contact with other specified venomous plants,기타 명시된 독액성 식물과 접촉
X28.0,7,"Contact with other specified venomous plants, home","기타 명시된 독액성 식물과 접촉, 주택"
X28.1,7,"Contact with other specified venomous plants, residential institution","기타 명시된 독액성 식물과 접촉, 집단거주시설"
X28.2,7,"Contact with other specified venomous plants, school, other institution and public administrative area","기타 명시된 독액성 식물과 접촉, 학교, 기타 시설 및 공공행정 구역"
X28.3,7,"Contact with other specified venomous plants, sports and athletics area","기타 명시된 독액성 식물과 접촉, 운동 및 경기장"
X28.4,7,"Contact with other specified venomous plants, street and highway","기타 명시된 독액성 식물과 접촉, 도로 및 고속도로"
X28.5,7,"Contact with other specified venomous plants, trade and service area","기타 명시된 독액성 식물과 접촉, 상업 및 서비스 구역"
X28.6,7,"Contact with other specified venomous plants, industrial and construction area","기타 명시된 독액성 식물과 접촉, 산업 및 건설지역"
X28.7,7,"Contact with other specified venomous plants, farm","기타 명시된 독액성 식물과 접촉, 농장"
X28.8,7,"Contact with other specified venomous plants, other specified places","기타 명시된 독액성 식물과 접촉, 기타 명시된 장소"
X28.9,7,"Contact with other specified venomous plants, unspecified place","기타 명시된 독액성 식물과 접촉, 상세불명 장소"
X29,7,Contact with unspecified venomous animal or plant,상세불명의 독액성 동물 또는 식물과 접촉
X29.0,7,"Contact with unspecified venomous animals and plants, home","상세불명의 독액성 동물 및 식물과 접촉, 주택"
X29.1,7,"Contact with unspecified venomous animals and plants, residential institution","상세불명의 독액성 동물 및 식물과 접촉, 집단거주시설"
X29.2,7,"Contact with unspecified venomous animals and plants, school, other institution and public administrative area","상세불명의 독액성 동물 및 식물과 접촉, 학교, 기타 시설 및 공공행정 구역"
X29.3,7,"Contact with unspecified venomous animals and plants, sports and athletics area","상세불명의 독액성 동물 및 식물과 접촉, 운동 및 경기장"
X29.4,7,"Contact with unspecified venomous animals and plants, street and highway","상세불명의 독액성 동물 및 식물과 접촉, 도로 및 고속도로"
X29.5,7,"Contact with unspecified venomous animals and plants, trade and service area","상세불명의 독액성 동물 및 식물과 접촉, 상업 및 서비스 구역"
X29.6,7,"Contact with unspecified venomous animals and plants, industrial and construction area","상세불명의 독액성 동물 및 식물과 접촉, 산업 및 건설지역"
X29.7,7,"Contact with unspecified venomous animals and plants, farm","상세불명의 독액성 동물 및 식물과 접촉, 농장"
X29.8,7,"Contact with unspecified venomous animals and plants, other specified places","상세불명의 독액성 동물 및 식물과 접촉, 기타 명시된 장소"
X29.9,7,"Contact with unspecified venomous animals and plants, unspecified place","상세불명의 독액성 동물 및 식물과 접촉, 상세불명 장소"
X30,7,Exposure to excessive natural heat,과다한 자연열에 노출
X30.0,7,"Exposure to excessive natural heat, home","과다한 자연열에 노출, 주택"
X30.1,7,"Exposure to excessive natural heat, residential institution","과다한 자연열에 노출, 집단거주시설"
X30.2,7,"Exposure to excessive natural heat, school, other institution and public administrative area","과다한 자연열에 노출, 학교, 기타 시설 및 공공행정 구역"
X30.3,7,"Exposure to excessive natural heat, sports and athletics area","과다한 자연열에 노출, 운동 및 경기장"
X30.4,7,"Exposure to excessive natural heat, street and highway","과다한 자연열에 노출, 도로 및 고속도로"
X30.5,7,"Exposure to excessive natural heat, trade and service area","과다한 자연열에 노출, 상업 및 서비스 구역"
X30.6,7,"Exposure to excessive natural heat, industrial and construction area","과다한 자연열에 노출, 산업 및 건설지역"
X30.7,7,"Exposure to excessive natural heat, farm","과다한 자연열에 노출, 농장"
X30.8,7,"Exposure to excessive natural heat, other specified places","과다한 자연열에 노출, 기타 명시된 장소"
X30.9,7,"Exposure to excessive natural heat, unspecified place","과다한 자연열에 노출, 상세불명 장소"
X31,7,Exposure to excessive natural cold,과다한 자연한랭에 노출
X31.0,7,"Exposure to excessive natural cold, home","과다한 자연한랭에 노출, 주택"
X31.1,7,"Exposure to excessive natural cold, residential institution","과다한 자연한랭에 노출, 집단거주시설"
X31.2,7,"Exposure to excessive natural cold, school, other institution and public administrative area","과다한 자연한랭에 노출, 학교, 기타 시설 및 공공행정 구역"
X31.3,7,"Exposure to excessive natural cold, sports and athletics area","과다한 자연한랭에 노출, 운동 및 경기장"
X31.4,7,"Exposure to excessive natural cold, street and highway","과다한 자연한랭에 노출, 도로 및 고속도로"
X31.5,7,"Exposure to excessive natural cold, trade and service area","과다한 자연한랭에 노출, 상업 및 서비스 구역"
X31.6,7,"Exposure to excessive natural cold, industrial and construction area","과다한 자연한랭에 노출, 산업 및 건설지역"
X31.7,7,"Exposure to excessive natural cold, farm","과다한 자연한랭에 노출, 농장"
X31.8,7,"Exposure to excessive natural cold, other specified places","과다한 자연한랭에 노출, 기타 명시된 장소"
X31.9,7,"Exposure to excessive natural cold, unspecified place","과다한 자연한랭에 노출, 상세불명 장소"
X32,7,Exposure to sunlight,일광에 노출
X32.0,7,"Exposure to sunlight, home","일광에 노출, 주택"
X32.1,7,"Exposure to sunlight, residential institution","일광에 노출, 집단거주시설"
X32.2,7,"Exposure to sunlight, school, other institution and public administrative area","일광에 노출, 학교, 기타 시설 및 공공행정 구역"
X32.3,7,"Exposure to sunlight, sports and athletics area","일광에 노출, 운동 및 경기장"
X32.4,7,"Exposure to sunlight, street and highway","일광에 노출, 도로 및 고속도로"
